【  央视频道  】,#genre#
CCTV4,http://110.72.76.61:808/hls/113/index.m3u8
CCTV4,http://223.240.51.168:4022/rtp/238.1.78.236:7760
CCTV4,http://110.72.78.171:808/hls/113/index.m3u8
CCTV4,http://14.216.233.242:8888/udp/239.77.1.166:5146
CCTV4,http://110.72.82.31:808/hls/113/index.m3u8
CCTV4,http://27.11.57.83:8008/udp/225.0.4.176:7980
CCTV4,http://27.16.188.107:4022/rtp/239.69.1.138:10466
CCTV4,http://61.150.11.116:4444/rtp/239.112.205.202:5140
CCTV4-国际,http://61.141.202.118:9901/tsfile/live/0003_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV4-国际,http://58.19.182.187:9901/tsfile/live/0004_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV4-国际,http://124.128.73.58:9901/tsfile/live/0004_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV4-国际,http://222.92.7.170:3333/tsfile/live/0004_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV4K,http://113.71.149.149:5555/udp/239.77.0.194:5146
CCTV4K,http://116.5.239.220:8000/udp/239.77.0.194:5146
CCTV4K,http://120.4.34.234:4000/rtp/239.253.93.134:6631
CCTV4K,http://219.128.40.214:8888/udp/239.77.0.194:5146
CCTV4K,http://218.19.111.239:9999/udp/239.77.0.194:5146
CCTV4K,http://14.121.146.49:554/udp/239.77.0.194:5146
CCTV4K,http://183.7.106.241:4022/udp/239.77.0.194:5146
CCTV4K,http://113.111.17.115:8888/udp/239.77.0.194:5146
CCTV4K,http://218.19.110.145:9999/udp/239.77.0.194:5146
CCTV4K,http://120.6.187.182:4022/rtp/239.253.93.134:6631
CCTV4K,http://113.100.72.95:8899/udp/239.77.0.194:5146
CCTV4K,http://113.74.172.130:4000/udp/239.77.0.194:5146
CCTV4K,http://101.75.182.162:4000/rtp/239.253.93.134:6631
CCTV4K,http://219.128.40.98:4022/udp/239.77.0.194:5146
CCTV4K,http://14.216.233.242:8888/udp/239.77.0.194:5146
CCTV4K50p,http://116.5.239.220:8000/udp/239.77.0.174:5146
CCTV4K50p,http://113.111.17.115:8888/udp/239.77.0.174:5146
CCTV4K50p,http://219.128.40.214:8888/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.110.145:9999/udp/239.77.0.174:5146
CCTV4K50p,http://113.74.172.130:4000/udp/239.77.0.174:5146
CCTV4K50p,http://219.128.40.98:4022/udp/239.77.0.174:5146
CCTV4K50p,http://113.71.149.149:5555/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.111.239:9999/udp/239.77.0.174:5146
CCTV4K50p,http://183.7.106.241:4022/udp/239.77.0.174:5146
CCTV4K50p,http://14.216.233.242:8888/udp/239.77.0.174:5146
CCTV4K50p,http://113.100.72.95:8899/udp/239.77.0.174:5146
CCTV4K50p,http://14.121.146.49:554/udp/239.77.0.174:5146
CCTV4K50p,http://113.65.7.195:8888/udp/239.77.0.174:5146
CCTV4K50p,http://218.19.111.218:9999/udp/239.77.0.174:5146
CCTV4亚洲,http://120.4.34.234:4000/rtp/239.253.92.251:6141
CCTV4亚洲,http://120.6.187.182:4022/rtp/239.253.92.251:6141
CCTV4亚洲,http://101.75.182.162:4000/rtp/239.253.92.251:6141
CCTV4北美,http://182.32.160.10:9997/udp/239.21.2.29:5002
CCTV4美洲,http://124.230.56.5:55555/udp/239.76.253.96:9000
CCTV4美洲,http://221.15.5.143:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://124.230.56.5:55555/udp/239.76.246.96:1234
CCTV4美洲,http://221.15.4.129:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://219.156.50.70:9999/rtp/225.1.5.32:1343
CCTV4美洲,http://175.4.83.137:8888/udp/239.76.253.96:9000
CCTV4美洲,http://114.254.89.70:2222/rtp/239.3.1.214:4220
CCTV4美洲,http://222.141.133.89:8888/rtp/225.1.5.32:1343
CCTV4美洲,http://221.221.155.206:8182/rtp/239.3.1.214:4220
CCTV4美洲,http://123.179.46.72:8888/udp/239.29.1.142:5000
CCTV4美洲,http://219.156.117.40:2000/rtp/225.1.5.32:1343
CCTV4美洲,http://114.254.85.234:2222/rtp/239.3.1.214:4220
CCTV4美洲,http://111.224.94.34:1024/rtp/239.254.201.206:4220
CCTV4美洲,http://125.34.18.5:8888/rtp/239.3.1.214:4220
CCTV4美洲,http://222.141.135.182:8888/rtp/225.1.5.32:1343
CCTV5,http://123.14.89.74:8888/hls/5/index.m3u8
CCTV5,http://112.46.85.60:8002/hls/503/index.m3u8
CCTV5,http://110.72.81.173:808/hls/38/index.m3u8
CCTV5,http://110.72.60.81:808/hls/67/index.m3u8
CCTV5,http://110.72.81.106:808/hls/38/index.m3u8
CCTV5,http://110.72.82.31:808/hls/38/index.m3u8
CCTV5,http://112.114.137.134:888/hls/5/index.m3u8
CCTV5,http://182.126.117.20:808/hls/5/index.m3u8
CCTV5,http://171.8.245.48:808/hls/5/index.m3u8
CCTV5,http://125.88.8.114:9901/tsfile/live/0005_1.m3u8
CCTV5,http://112.6.117.141:9901/tsfile/live/0005_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
CCTV5,http://27.11.49.156:8010/udp/225.0.4.143:7980
CCTV5,http://115.204.73.138:8888/rtp/233.50.201.197:5140
CCTV5,http://27.16.188.107:4022/rtp/239.69.1.123:10376
CCTV5,http://60.163.16.216:8888/rtp/233.50.201.197:5140
CCTV5+,http://110.72.60.81:808/hls/6/index.m3u8
CCTV5+,http://123.54.170.154:808/hls/18/index.m3u8
CCTV5+,http://111.225.94.184:8800/hls/101/index.m3u8
CCTV5+,http://117.70.233.138:888/hls/5/index.m3u8
CCTV5+,http://115.204.73.138:8888/rtp/233.50.201.220:5140
CCTV5+,http://27.16.188.107:4022/rtp/239.69.1.12:9712
CCTV5+,http://125.120.147.105:8888/rtp/233.50.201.220:5140
CCTV5+,http://123.145.78.178:8002/udp/225.0.4.73:7980
CCTV5+,http://61.150.11.116:4444/rtp/239.111.205.13:5140
CCTV5+,http://117.30.115.27:8888/rtp/239.61.2.171:9014
CCTV5+,http://27.11.49.156:8010/udp/225.0.4.73:7980
CCTV5+,http://27.11.54.168:8010/udp/225.0.4.73:7980
CCTV5+,http://60.163.16.216:8888/rtp/233.50.201.220:5140
CCTV5+,http://183.128.190.251:8888/rtp/233.50.201.220:5140
CCTV5+,http://220.187.80.239:8888/rtp/233.50.201.220:5140
CCTV5+hd,http://124.230.56.5:55555/udp/239.76.246.168:1234
CCTV5+hd,http://175.10.72.203:4022/udp/239.76.253.168:9000
CCTV5+hd,http://124.230.56.5:55555/udp/239.76.253.168:9000
CCTV5+hd,http://175.10.72.203:4022/udp/239.76.246.168:1234
CCTV5+hd,http://175.4.83.137:8888/udp/239.76.246.168:1234
CCTV5+hd,http://175.4.83.137:8888/udp/239.76.253.168:9000
CCTV5+hd,http://175.15.134.49:8888/udp/239.76.246.168:1234
CCTV5+hd,http://175.15.134.49:8888/udp/239.76.253.168:9000
CCTV5+hd,http://118.254.159.110:8888/udp/239.76.253.168:9000
CCTV5+hd,http://222.241.144.110:8888/udp/239.76.253.168:9000
CCTV5+hd,http://175.4.82.15:8888/udp/239.76.253.168:9000
CCTV5+体育赛事,http://58.19.182.187:9901/tsfile/live/0016_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
CCTV5-体育,http://58.19.182.187:9901/tsfile/live/0005_1.m3u8?key=tvbox6_com&amp;playlive=1&amp;authid=0
