【  标清频道  】,#genre#
CCTV1,http://125.71.114.181:4000/udp/239.93.0.148:5140
CCTV1,http://221.237.9.18:6066/udp/239.93.0.148:5140
CCTV1,http://61.157.32.10:8888/udp/239.93.0.148:5140
CCTV1,http://218.89.233.208:8088/udp/239.93.0.148:5140
CCTV1,http://182.151.169.209:55555/udp/239.93.0.148:5140
CCTV1,http://221.237.9.20:6066/udp/239.93.0.148:5140
CCTV1,http://118.113.159.249:4022/udp/239.93.0.148:5140
CCTV10,http://218.89.233.208:8088/udp/239.93.1.63:5140
CCTV10,http://221.237.9.20:6066/udp/239.93.1.63:5140
CCTV10,http://118.113.159.249:4022/udp/239.93.1.63:5140
CCTV10,http://61.157.32.10:8888/udp/239.93.1.63:5140
CCTV11,http://221.237.190.219:8888/udp/239.93.0.170:5140
CCTV11,http://61.157.32.10:8888/udp/239.93.0.170:5140
CCTV11,http://125.71.114.181:4000/udp/239.93.0.170:5140
CCTV11,http://118.113.159.249:4022/udp/239.93.0.170:5140
CCTV11,http://221.237.9.18:6066/udp/239.93.0.170:5140
CCTV11,http://221.237.9.20:6066/udp/239.93.0.170:5140
CCTV11,http://218.89.233.208:8088/udp/239.93.0.170:5140
CCTV12,http://118.113.159.249:4022/udp/239.93.1.41:5140
CCTV12,http://221.237.9.20:6066/udp/239.93.1.41:5140
CCTV12,http://221.237.190.219:8888/udp/239.93.1.41:5140
CCTV12,http://182.151.169.209:55555/udp/239.93.1.41:5140
CCTV12,http://61.157.32.10:8888/udp/239.93.1.41:5140
CCTV12,http://125.71.114.181:4000/udp/239.93.1.41:5140
CCTV12,http://218.89.233.208:8088/udp/239.93.1.41:5140
CCTV12,http://221.237.9.18:6066/udp/239.93.1.41:5140
CCTV13,http://221.237.190.219:8888/udp/239.93.0.187:5140
CCTV13,http://218.89.233.208:8088/udp/239.93.0.187:5140
CCTV13,http://118.113.159.249:4022/udp/239.93.0.187:5140
CCTV13,http://125.71.114.181:4000/udp/239.93.0.187:5140
CCTV13,http://61.157.32.10:8888/udp/239.93.0.187:5140
CCTV13,http://118.113.246.235:55555/udp/239.93.0.187:5140
CCTV2,http://125.71.114.181:4000/udp/239.93.0.149:5140
CCTV2,http://221.237.9.18:6066/udp/239.93.0.149:5140
CCTV2,http://221.237.190.219:8888/udp/239.93.0.149:5140
CCTV2,http://61.157.32.10:8888/udp/239.93.0.149:5140
CCTV2,http://182.151.169.209:55555/udp/239.93.0.149:5140
CCTV2,http://218.89.233.208:8088/udp/239.93.0.149:5140
CCTV2,http://221.237.9.20:6066/udp/239.93.0.149:5140
CCTV2,http://118.113.159.249:4022/udp/239.93.0.149:5140
CCTV3,http://61.157.32.10:8888/udp/239.93.0.150:5140
CCTV3,http://118.113.246.235:55555/udp/239.93.0.150:5140
CCTV3,http://221.237.9.20:6066/udp/239.93.0.150:5140
CCTV3,http://218.89.233.208:8088/udp/239.93.0.150:5140
CCTV3,http://182.151.169.209:55555/udp/239.93.0.150:5140
CCTV3,http://221.237.9.18:6066/udp/239.93.0.150:5140
CCTV3,http://118.113.159.249:4022/udp/239.93.0.150:5140
CCTV3,http://125.71.114.181:4000/udp/239.93.0.150:5140
CCTV4,http://125.71.114.181:4000/udp/239.93.0.212:5140
CCTV4,http://221.237.9.20:6066/udp/239.93.0.212:5140
CCTV4,http://221.237.9.18:6066/udp/239.93.0.212:5140
CCTV4,http://218.89.233.208:8088/udp/239.93.0.212:5140
CCTV4,http://182.151.169.209:55555/udp/239.93.0.212:5140
CCTV4,http://61.157.32.10:8888/udp/239.93.0.212:5140
CCTV4,http://118.113.159.249:4022/udp/239.93.0.212:5140
CCTV5,http://118.113.159.249:4022/udp/239.93.0.158:5140
CCTV5,http://125.71.114.181:4000/udp/239.93.0.158:5140
CCTV5,http://221.237.9.20:6066/udp/239.93.0.158:5140
CCTV5,http://218.89.233.208:8088/udp/239.93.0.158:5140
CCTV5,http://118.113.246.235:55555/udp/239.93.0.158:5140
CCTV7,http://182.151.169.209:55555/udp/239.93.0.79:5140
CCTV7,http://218.89.233.208:8088/udp/239.93.0.79:5140
CCTV7,http://61.157.32.10:8888/udp/239.93.0.79:5140
CCTV7,http://221.237.9.18:6066/udp/239.93.0.79:5140
CCTV7,http://118.113.159.249:4022/udp/239.93.0.79:5140
CCTV7,http://125.71.114.181:4000/udp/239.93.0.79:5140
CCTV7,http://221.237.9.20:6066/udp/239.93.0.79:5140
CCTV9,http://118.113.159.249:4022/udp/239.93.1.64:5140
CCTV9,http://221.237.190.219:8888/udp/239.93.1.64:5140
CCTV9,http://61.157.32.10:8888/udp/239.93.1.64:5140
CCTV少儿,http://125.71.114.181:4000/udp/239.93.1.40:5140
CCTV少儿,http://61.157.32.10:8888/udp/239.93.1.40:5140
CCTV少儿,http://118.113.246.235:55555/udp/239.93.1.40:5140
CCTV少儿,http://182.151.169.209:55555/udp/239.93.1.40:5140
CCTV少儿,http://221.237.9.18:6066/udp/239.93.1.40:5140
CCTV少儿,http://118.113.159.249:4022/udp/239.93.1.40:5140
CCTV音乐,http://125.71.114.181:4000/udp/239.93.0.171:5140
CCTV音乐,http://221.237.190.219:8888/udp/239.93.0.171:5140
CCTV音乐,http://218.89.233.208:8088/udp/239.93.0.171:5140
东南卫视,http://221.237.9.18:6066/udp/239.93.1.201:5140
东南卫视,http://182.151.169.209:55555/udp/239.93.1.201:5140
东南卫视,http://118.113.159.249:4022/udp/239.93.1.201:5140
东南卫视,http://221.237.190.219:8888/udp/239.93.1.201:5140
东南卫视,http://221.237.9.20:6066/udp/239.93.1.201:5140
东南卫视,http://61.157.32.10:8888/udp/239.93.1.201:5140
东方卫视,http://221.237.9.18:6066/udp/239.93.1.44:5140
东方卫视,http://218.89.233.208:8088/udp/239.93.1.44:5140
东方卫视,http://61.157.32.10:8888/udp/239.93.1.44:5140
东方卫视,http://182.151.169.209:55555/udp/239.93.1.44:5140
东方卫视,http://125.71.114.181:4000/udp/239.93.1.44:5140
东方卫视,http://118.113.159.249:4022/udp/239.93.1.44:5140
东方卫视,http://221.237.9.20:6066/udp/239.93.1.44:5140
东方卫视,http://118.114.200.254:5555/udp/239.93.1.44:5140
云南卫视,http://118.113.246.235:55555/udp/239.93.1.168:5140
云南卫视,http://221.237.9.18:6066/udp/239.93.1.168:5140
云南卫视,http://218.89.233.208:8088/udp/239.93.1.168:5140
云南卫视,http://118.113.159.249:4022/udp/239.93.1.168:5140
云南卫视,http://182.151.169.209:55555/udp/239.93.1.168:5140
云南卫视,http://61.157.32.10:8888/udp/239.93.1.168:5140
内蒙古卫视,http://218.89.233.208:8088/udp/239.93.1.208:5140
内蒙古卫视,http://125.71.114.181:4000/udp/239.93.1.208:5140
内蒙古卫视,http://221.237.9.20:6066/udp/239.93.1.208:5140
内蒙古卫视,http://61.157.32.10:8888/udp/239.93.1.208:5140
内蒙古卫视,http://221.237.9.18:6066/udp/239.93.1.208:5140
内蒙古卫视,http://182.151.169.209:55555/udp/239.93.1.208:5140
北京卫视,http://218.89.233.208:8088/udp/239.93.1.66:5140
北京卫视,http://221.237.9.18:6066/udp/239.93.1.66:5140
北京卫视,http://118.113.159.249:4022/udp/239.93.1.66:5140
北京卫视,http://182.151.169.209:55555/udp/239.93.1.66:5140
北京卫视,http://61.157.32.10:8888/udp/239.93.1.66:5140
北京卫视,http://221.237.9.20:6066/udp/239.93.1.66:5140
北京卫视,http://125.71.114.181:4000/udp/239.93.1.66:5140
北京卫视,http://221.237.190.219:8888/udp/239.93.1.66:5140
吉林卫视,http://221.237.9.20:6066/udp/239.93.1.204:5140
