,http://183.237.246.14:9931/tsfile/live/1008_1.m3u8
BTV国际,http://114.243.108.185:8821/rtp/239.3.1.235:8000
BTV国际,http://114.243.109.190:8821/rtp/239.3.1.235:8000
BTV国际,http://114.243.96.158:8821/rtp/239.3.1.235:8000
BTV国际,http://114.243.96.196:8821/rtp/239.3.1.235:8000
BTV国际,http://114.253.74.208:8686/rtp/239.3.1.235:8000
BTV文艺BJ,http://9.9.9.9/live/bjwy/index.m3u8
BesTV,http://116.148.121.229:8125/rtp/233.50.201.201:5140
BesTV,http://120.55.49.231:3095/rtp/233.50.201.201:5140
BesTV,http://120.55.49.231:34599/rtp/233.50.201.201:5140
BesTV,http://123.97.132.103:18888/rtp/233.50.201.201:5140
BesTV,http://125.125.197.72:8881/rtp/233.50.201.201:5140
BesTV,http://125.125.197.72:8889/rtp/233.50.201.201:5140
BesTV,http://125.125.199.56:8889/rtp/233.50.201.201:5140
BesTV,http://125.125.56.55:8889/rtp/233.50.201.201:5140
BesTV,http://60.187.128.214:7777/rtp/233.50.201.201:5140
BesTV,http://60.187.197.91:7777/rtp/233.50.201.201:5140
CBN幸福娱乐,http://183.238.248.82:9000/udp/239.21.0.128:3856
CBN幸福娱乐,http://183.238.248.84:9000/udp/239.21.0.128:3856
CBN风尚生活,http://183.238.248.82:9000/udp/239.21.0.126:3848
CBN风尚生活,http://183.238.248.84:9000/udp/239.21.0.126:3848
CDTV1,http://118.114.168.248:4455/udp/239.93.0.16:5140
CDTV1,http://118.121.58.80:2121/udp/239.93.0.16:5140
CDTV1,http://171.217.52.64:1880/udp/239.93.0.16:5140
CDTV1,http://171.221.223.79:4443/udp/239.93.0.16:5140
CDTV1,http://171.221.240.108:808/hls/41/index.m3u8
CDTV1,http://171.221.40.25:808/hls/38/index.m3u8
CDTV1,http://171.223.215.229:4000/udp/239.93.0.16:5140
CDTV1,http://220.166.245.152:66/udp/239.93.0.16:5140
CDTV2,http://118.114.168.248:4455/udp/239.93.0.17:1239
CDTV2,http://118.121.58.80:2121/udp/239.93.0.17:1239
CDTV2,http://171.217.52.64:1880/udp/239.93.0.17:1239
CDTV2,http://171.221.223.79:4443/udp/239.93.0.17:1239
CDTV2,http://171.221.40.25:808/hls/39/index.m3u8
CDTV2,http://171.223.215.229:4000/udp/239.93.0.17:1239
CDTV2,http://220.166.245.152:66/udp/239.93.0.17:1239
CDTV3,http://118.114.168.248:4455/udp/239.93.0.18:1238
CDTV3,http://118.121.58.80:2121/udp/239.93.0.18:1238
CDTV3,http://171.217.52.64:1880/udp/239.93.0.18:1238
CDTV3,http://171.221.223.79:4443/udp/239.93.0.18:1238
CDTV3,http://171.221.40.25:808/hls/40/index.m3u8
CDTV3,http://171.223.215.229:4000/udp/239.93.0.18:1238
CDTV3,http://220.166.245.152:66/udp/239.93.0.18:1238
CDTV4,http://118.114.168.248:4455/udp/239.93.0.19:1250
CDTV4,http://118.121.58.80:2121/udp/239.93.0.19:1250
CDTV4,http://171.217.52.64:1880/udp/239.93.0.19:1250
CDTV4,http://171.221.223.79:4443/udp/239.93.0.19:1250
CDTV4,http://171.223.215.229:4000/udp/239.93.0.19:1250
CDTV4,http://220.166.245.152:66/udp/239.93.0.19:1250
CDTV5,http://118.114.168.248:4455/udp/239.93.1.231:5140
CDTV5,http://118.121.58.80:2121/udp/239.93.1.231:5140
CDTV5,http://171.217.52.64:1880/udp/239.93.1.231:5140
CDTV5,http://171.221.223.79:4443/udp/239.93.1.231:5140
CDTV5,http://171.221.240.108:808/hls/42/index.m3u8
CDTV5,http://171.223.215.229:4000/udp/239.93.1.231:5140
CDTV5,http://220.166.245.152:66/udp/239.93.1.231:5140
CDTV6,http://118.114.168.248:4455/udp/239.93.0.21:1251
CDTV6,http://118.121.58.80:2121/udp/239.93.0.21:1251
CDTV6,http://171.217.52.64:1880/udp/239.93.0.21:1251
CDTV6,http://171.221.223.79:4443/udp/239.93.0.21:1251
CDTV6,http://171.223.215.229:4000/udp/239.93.0.21:1251
CDTV6,http://220.166.245.152:66/udp/239.93.0.21:1251
CDTV8,http://118.114.168.248:4455/udp/239.93.0.22:1252
CDTV8,http://118.121.58.80:2121/udp/239.93.0.22:1252
CDTV8,http://171.217.52.64:1880/udp/239.93.0.22:1252
CDTV8,http://171.221.223.79:4443/udp/239.93.0.22:1252
CDTV8,http://171.223.215.229:4000/udp/239.93.0.22:1252
CDTV8,http://220.166.245.152:66/udp/239.93.0.22:1252
CETV1+,http://10.8.8.250:5000/?id=10409
CETV1,http://114.243.104.69:8821/rtp/239.3.1.57:8152
CETV1,http://114.243.106.175:8821/rtp/239.3.1.57:8152
CETV1,http://114.243.106.222:8821/rtp/239.3.1.57:8152
CETV1,http://114.243.108.185:8821/rtp/239.3.1.57:8152
CETV1,http://114.243.109.190:8821/rtp/239.3.1.57:8152
CETV1,http://114.243.96.158:8821/rtp/239.3.1.57:8152
CETV1,http://114.243.96.196:8821/rtp/239.3.1.57:8152
CETV1,http://114.253.74.208:8686/rtp/239.3.1.57:8152
CETV1,http://118.114.168.248:4455/udp/239.93.1.111:5140
CETV1,http://118.121.58.80:2121/udp/239.93.1.111:5140
CETV1,http://118.212.169.134/PLTV/88888888/224/3221226862/index.m3u8
CETV1,http://127.0.0.1:17070/main/011409/
CETV1,http://128.1.1.8:17070/main/011409/
CETV1,http://171.119.207.43:6001/rtp/226.0.2.181:9360
CETV1,http://171.119.207.43:6001/rtp/226.0.2.68:8456
CETV1,http://171.217.52.64:1880/udp/239.93.1.111:5140
CETV1,http://171.221.223.79:4443/udp/239.93.1.111:5140
CETV1,http://171.223.215.229:4000/udp/239.93.1.111:5140
CETV1,http://183.11.239.36:808/hls/122/index.m3u8
CETV1,http://183.237.246.14:9931/tsfile/live/1125_1.m3u8
CETV1,http://183.238.248.82:9000/udp/239.20.0.213:2224
CETV1,http://183.238.248.84:9000/udp/239.20.0.213:2224
CETV1,http://219.145.19.212:5554/rtp/239.109.205.47:8312
CETV1,http://219.145.19.212:5554/rtp/239.112.205.137:5140
CETV1,http://220.166.245.152:66/udp/239.93.1.111:5140
