【  卫视频道  】,#genre#
浙江卫视,http://120.84.121.106:808/hls/129/index.m3u8
浙江卫视,http://171.117.47.93:9999/tsfile/live/0124_1.m3u8
浙江卫视,http://123.54.174.167:808/hls/61/index.m3u8
浙江卫视,http://182.46.8.161:8018/hls/52/index.m3u8
浙江卫视,http://222.137.231.41:808/hls/31/index.m3u8
浙江卫视,http://120.84.121.11:808/hls/129/index.m3u8
海南卫视,http://123.54.174.167:808/hls/88/index.m3u8
深圳卫视,http://ynxsj.7766.org:9901/tsfile/live/0126_1.m3u8
深圳卫视,http://123.54.174.167:808/hls/75/index.m3u8
深圳卫视,http://171.117.47.93:9999/tsfile/live/0126_1.m3u8
深圳卫视,http://182.46.8.161:8018/hls/72/index.m3u8
湖北卫视,http://120.84.121.54:808/hls/128/index.m3u8
湖北卫视,http://120.84.121.106:808/hls/128/index.m3u8
湖北卫视,http://ynxsj.7766.org:9901/tsfile/live/0132_1.m3u8
湖北卫视,http://110.72.77.203:808/hls/27/index.m3u8
湖北卫视,http://120.84.121.11:808/hls/128/index.m3u8
湖北卫视,http://123.54.174.167:808/hls/77/index.m3u8
湖北卫视,http://182.46.8.161:8018/hls/49/index.m3u8
湖北卫视,http://171.117.47.93:9999/tsfile/live/0132_1.m3u8
湖南卫视,http://120.84.121.106:808/hls/126/index.m3u8
湖南卫视,http://ynxsj.7766.org:9901/tsfile/live/0128_1.m3u8
湖南卫视,http://123.54.174.167:808/hls/74/index.m3u8
湖南卫视,http://110.72.64.247:808/hls/1003/index.m3u8
湖南卫视,http://110.72.79.60:808/hls/25/index.m3u8
湖南卫视,http://171.117.47.93:9999/tsfile/live/0128_1.m3u8
湖南卫视,http://120.84.121.11:808/hls/126/index.m3u8
甘肃卫视,http://123.54.174.167:808/hls/89/index.m3u8
甘肃卫视,http://120.84.121.54:808/hls/145/index.m3u8
甘肃卫视,http://120.84.121.11:808/hls/145/index.m3u8
甘肃卫视,http://120.84.121.106:808/hls/145/index.m3u8
甘肃卫视,http://182.46.8.161:8018/hls/56/index.m3u8
福建东南卫视,http://120.84.121.106:808/hls/141/index.m3u8
福建东南卫视,http://120.84.121.11:808/hls/141/index.m3u8
福建东南卫视,http://120.84.121.54:808/hls/141/index.m3u8
西藏卫视,http://120.84.121.54:808/hls/146/index.m3u8
西藏卫视,http://120.84.121.11:808/hls/146/index.m3u8
西藏卫视,http://182.46.8.161:8018/hls/75/index.m3u8
贵州卫视,http://120.84.121.54:808/hls/127/index.m3u8
贵州卫视,http://182.46.8.161:8018/hls/59/index.m3u8
贵州卫视,http://ynxsj.7766.org:9901/tsfile/live/0120_1.m3u8
贵州卫视,http://120.84.121.11:808/hls/127/index.m3u8
贵州卫视,http://123.54.174.167:808/hls/71/index.m3u8
辽宁卫视,http://123.54.174.167:808/hls/69/index.m3u8
辽宁卫视,http://120.84.121.106:808/hls/133/index.m3u8
辽宁卫视,http://120.84.121.54:808/hls/133/index.m3u8
辽宁卫视,http://120.84.121.11:808/hls/133/index.m3u8
辽宁卫视,http://182.46.8.161:8018/hls/65/index.m3u8
辽宁卫视,http://ynxsj.7766.org:9901/tsfile/live/0121_1.m3u8
辽宁卫视,http://171.117.47.93:9999/tsfile/live/0121_1.m3u8
重庆卫视,http://110.72.64.17:808/hls/33/index.m3u8
重庆卫视,http://ynxsj.7766.org:9901/tsfile/live/0142_1.m3u8
重庆卫视,http://123.54.174.167:808/hls/80/index.m3u8
重庆卫视,http://171.117.47.93:9999/tsfile/live/0142_1.m3u8
陕西卫视,http://120.84.121.54:808/hls/137/index.m3u8
陕西卫视,http://120.84.121.106:808/hls/137/index.m3u8
陕西卫视,http://222.137.231.41:808/hls/51/index.m3u8
陕西卫视,http://ynxsj.7766.org:9901/tsfile/live/0136_1.m3u8
陕西卫视,http://120.84.121.11:808/hls/137/index.m3u8
陕西卫视,http://123.54.174.167:808/hls/70/index.m3u8
陕西卫视,http://182.46.8.161:8018/hls/71/index.m3u8
青海卫视,http://123.54.174.167:808/hls/90/index.m3u8
青海卫视,http://182.46.8.161:8018/hls/69/index.m3u8
黑龙江卫视,http://120.84.121.54:808/hls/139/index.m3u8
黑龙江卫视,http://120.84.121.106:808/hls/139/index.m3u8
黑龙江卫视,http://171.117.47.93:9999/tsfile/live/0143_1.m3u8
黑龙江卫视,http://123.54.174.167:808/hls/66/index.m3u8
黑龙江卫视,http://ynxsj.7766.org:9901/tsfile/live/0143_1.m3u8
黑龙江卫视,http://182.46.8.161:8018/hls/63/index.m3u8
