央视频道,#genre#
CCTV-09记录,http://test.tvboxosc.cyou/ipv4_live/8/CCTV9/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/1/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/2/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/3/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/4/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/5/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/6/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/7/CCTV10/CCTV
CCTV-10科教,http://test.tvboxosc.cyou/ipv4_live/8/CCTV10/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/1/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/2/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/3/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/4/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/5/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/6/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/7/CCTV11/CCTV
CCTV-11戏曲,http://test.tvboxosc.cyou/ipv4_live/8/CCTV11/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/1/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/2/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/3/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/4/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/5/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/6/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/7/CCTV12/CCTV
CCTV-12社会与法,http://test.tvboxosc.cyou/ipv4_live/8/CCTV12/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/1/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/2/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/3/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/4/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/5/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/6/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/7/CCTV13/CCTV
CCTV-13新闻,http://test.tvboxosc.cyou/ipv4_live/8/CCTV13/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/1/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/2/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/3/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/4/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/5/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/6/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/7/CCTV14/CCTV
CCTV-14少儿,http://test.tvboxosc.cyou/ipv4_live/8/CCTV14/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/1/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/2/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/3/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/4/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/5/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/6/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/7/CCTV15/CCTV
CCTV-15音乐,http://test.tvboxosc.cyou/ipv4_live/8/CCTV15/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/1/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/2/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/3/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/4/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/5/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/6/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/7/CCTV16/CCTV
CCTV-16奥林匹克,http://test.tvboxosc.cyou/ipv4_live/8/CCTV16/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/1/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/2/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/3/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/4/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/5/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/6/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/7/CCTV17/CCTV
CCTV-17农业农村,http://test.tvboxosc.cyou/ipv4_live/8/CCTV17/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/1/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/2/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/3/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/4/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/5/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/6/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/7/CCTV5＋/CCTV
CCTV5+体育赛事,http://test.tvboxosc.cyou/ipv4_live/8/CCTV5＋/CCTV
CCTV-04 4K,http://test.tvboxosc.cyou/ipv4_live/1/CCTV1/CCTV

CCTV-16 4K,http://test.tvboxosc.cyou/ipv4_live/1/CCTV1/CCTV

央视台球,http://test.tvboxosc.cyou/ipv4_live/1/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/2/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/3/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/4/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/5/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/6/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/7/CCTV台球/CCTV
央视台球,http://test.tvboxosc.cyou/ipv4_live/8/CCTV台球/CCTV

央视文化精品,http://test.tvboxosc.cyou/ipv4_live/1/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/2/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/3/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/4/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/5/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/6/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/7/CCTV文化精品/CCTV
央视文化精品,http://test.tvboxosc.cyou/ipv4_live/8/CCTV文化精品/CCTV

CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/1/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/2/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/3/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/4/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/5/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/6/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/7/CCTV电视指南/CCTV
CCTV电视指南,http://test.tvboxosc.cyou/ipv4_live/8/CCTV电视指南/CCTV

CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/1/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/2/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/3/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/4/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/5/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/6/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/7/CCTV兵器科技/CCTV
CCTV兵器科技,http://test.tvboxosc.cyou/ipv4_live/8/CCTV兵器科技/CCTV

CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/1/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/2/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/3/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/4/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/5/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/6/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/7/CCTV女性时尚/CCTV
CCTV女性时尚,http://test.tvboxosc.cyou/ipv4_live/8/CCTV女性时尚/CCTV

CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/1/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/2/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/3/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/4/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/5/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/6/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/7/CCTV风云足球/CCTV
CCTV风云足球,http://test.tvboxosc.cyou/ipv4_live/8/CCTV风云足球/CCTV

CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/1/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/2/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/3/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/4/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/5/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/6/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/7/CCTV风云音乐/CCTV
CCTV风云音乐,http://test.tvboxosc.cyou/ipv4_live/8/CCTV风云音乐/CCTV

CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/1/CCTV世界地理/CCTV
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/2/CCTV世界地理/CCTV
CCTV世界地理,http://test.tvboxosc.cyou/ipv4_live/3/CCTV世界地理/CCTV
